@id,@notation,@status,rdf:type,rdfs:label,reg:notation
<http://codes.wmo.int/306/4678/-SHGSRA>,-SHGSRA,stable,skos:Concept,'Light showery precipitation of snow pellets/small hail and rain'@en,""
<http://codes.wmo.int/306/4678/-SHGSRASN>,-SHGSRASN,stable,skos:Concept,"'Light showery precipitation of snow pellets/small hail, rain and snow'@en",""
<http://codes.wmo.int/306/4678/-SHGSSN>,-SHGSSN,stable,skos:Concept,'Light showery precipitation of snow pellets/small hail and snow'@en,""
<http://codes.wmo.int/306/4678/-SHGSSNRA>,-SHGSSNRA,stable,skos:Concept,"'Light showery precipitation of snow pellets/small hail, snow and rain'@en",""
<http://codes.wmo.int/306/4678/-SHRA>,-SHRA,stable,skos:Concept,'Light showery precipitation of rain'@en,""
<http://codes.wmo.int/306/4678/-SHRAGR>,-SHRAGR,stable,skos:Concept,'Light showery precipitation of rain and hail'@en,""
<http://codes.wmo.int/306/4678/-SHRAGRSN>,-SHRAGRSN,stable,skos:Concept,"'Light showery precipitation of rain, hail and snow'@en",""
<http://codes.wmo.int/306/4678/-SHRAGS>,-SHRAGS,stable,skos:Concept,'Light showery precipitation of rain and snow pellets/small hail'@en,""
<http://codes.wmo.int/306/4678/-SHRAGSSN>,-SHRAGSSN,stable,skos:Concept,"'Light showery precipitation of rain, snow pellets/small hail and snow'@en",""
<http://codes.wmo.int/306/4678/-SHRASN>,-SHRASN,stable,skos:Concept,'Light showery precipitation of rain and snow'@en,""
<http://codes.wmo.int/306/4678/-SHRASNGR>,-SHRASNGR,stable,skos:Concept,"'Light showery precipitation of rain, snow and hail'@en",""
<http://codes.wmo.int/306/4678/-SHRASNGS>,-SHRASNGS,stable,skos:Concept,"'Light showery precipitation of rain, snow and snow pellets/small hail'@en",""
<http://codes.wmo.int/306/4678/-SHSN>,-SHSN,stable,skos:Concept,'Light showery precipitation of snow'@en,""
<http://codes.wmo.int/306/4678/-SHSNGR>,-SHSNGR,stable,skos:Concept,'Light showery precipitation of snow and hail'@en,""
<http://codes.wmo.int/306/4678/-SHSNGRRA>,-SHSNGRRA,stable,skos:Concept,"'Light showery precipitation of snow, hail and rain'@en",""
<http://codes.wmo.int/306/4678/-SHSNGS>,-SHSNGS,stable,skos:Concept,'Light showery precipitation of snow and snow pellets/small hail'@en,""
